Rank,Recommendation,P(GO) %,Title,Country,Sector,Procurement,Funding Agency,Budget,Days to Deadline,Model Version,Scored At,Source Portal,Source URL
105,NO GO 🔴,49.5%,Istanbul North Rail Crossing Project,Turkiye,Transport & Logistics,CONSULTING,World Bank,"1,000,000 USD",15,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00436761
106,NO GO 🔴,49.5%,Sava and Drina Rivers Corridors Integrated Development Program,Western Balkans,"Water, Sanitation & Waste",CONSULTING,World Bank,"25,000,000 EUR",5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440504
107,NO GO 🔴,49.2%,Manifestations d'intérêt (AMI) pour les services d’ Impression et sérigraphie.,Congo,Marketing & Customer Experience,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,16,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44768
108,NO GO 🔴,49.2%,West Africa Coastal Areas Resilience Investment Project 2,Western And Central Africa,Environment & Climate,CONSULTING,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440747
109,NO GO 🔴,49.2%,West Africa Coastal Areas Resilience Investment Project 2,Western And Central Africa,Environment & Climate,CONSULTING,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440743
110,NO GO 🔴,49.1%,Accelerating Sustainable and Clean Energy Access Transformation in Malawi,Malawi,Energy & Utilities,CONSULTING,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439696
111,NO GO 🔴,49.1%,South Sudan Energy Sector Access and Institutional Strengthening Project,South Sudan,Energy & Utilities,CONSULTING,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440252
112,NO GO 🔴,48.9%,RFP-Systems Leadership & Jurisdictional Approach (JA) Training,Malaysia,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,19,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45198
113,NO GO 🔴,48.9%,"Consultancy for the design, Development, and Operationalization of a Zero Identi",Palestinian Territories,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,14,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45052
114,NO GO 🔴,48.7%,Services relating to Comprehensive Profiling and Mapping of African Trade Shows and Exhibition Venues - German African Integrated Pr ogramme on Trade Shows -UNIDO Project ID 250246,Austria,N/A,CONSULTING,UNIDO,Unknown,4,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/297612
115,NO GO 🔴,48.6%,Cameroun Recrutement d’un Ingénieur Assistant Local en Passation des Marchés à la CPR-FC/MINTP,Cameroun,Social Protection & Poverty Reduction,CONSULTING,African Development Bank (AfDB),Unknown,6,2,2026-05-06,afdb,https://www.afdb.org/fr/documents/ami-cameroun-recrutement-dun-ingenieur-assistant-local-en-passation-des-marches-la-cpr-fc/mintp
116,NO GO 🔴,48.5%,Multinational Assistance technique pour la mise en place d'un système d'alerte dans le Bassin du Lac Tchad,Multinational,"Water, Sanitation & Waste, Risk & Compliance",CONSULTING,African Development Bank (AfDB),Unknown,3,2,2026-05-06,afdb,https://www.afdb.org/fr/documents/ami-multinational-assistance-technique-pour-la-mise-en-place-dun-systeme-dalerte-dans-le-bassin-du-lac-tchad-parfebalt
117,NO GO 🔴,48.2%,GEA-RfP-Mentoring and Leadership Programme for WF4D Initiative,Bosnia And Herzegovina,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,18,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45122
118,NO GO 🔴,48.2%,Eight Regional Action Plans for Integrating CCA in Regional Planning,Republic Of North Macedonia,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,15,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45207
119,NO GO 🔴,47.5%,Zimbabwe Individual Consulting Services-Project Accountant - Programme for Integrated Development and Adaptation to Climate Change in the Zambezi River Basin (PIDACC Zambezi) Regional Project,Zimbabwe,Environment & Climate,CONSULTING,African Development Bank (AfDB),Unknown,5,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-zimbabwe-individual-consulting-services-project-accountant-programme-integrated-development-and-adaptation-climate-change-zambezi-river-basin-pidacc-zambezi-regional-project
120,NO GO 🔴,47.5%,Bénin Elaboration de la stratégie à long terme assortie d’un plan d’investissement pour le climat avec l’identification des projets verts,Bénin,Environment & Climate,CONSULTING,African Development Bank (AfDB),Unknown,9,2,2026-05-06,afdb,https://www.afdb.org/en/documents/ami-benin-elaboration-de-la-strategie-long-terme-assortie-dun-plan-dinvestissement-pour-le-climat-avec-lidentification-des-projets-verts-papc
121,NO GO 🔴,47.2%,UN City Copenhagen ICT Incident Response Agreement,Denmark,Risk & Compliance,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44935
122,NO GO 🔴,47.2%,Physical Security Services for the UN Eco House in Podgorica,Montenegro,Risk & Compliance,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44762
123,NO GO 🔴,47.2%,Cameroon-Chad Transport Corridor,Western And Central Africa,Transport & Logistics,CONSULTING,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439072
124,NO GO 🔴,47.2%,Transport Corridors for Economic Resilience (TRACER),Zambia,Transport & Logistics,CONSULTING,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439226
125,NO GO 🔴,47.2%,Abidjan Urban Mobility Project,Côte d'Ivoire,Transport & Logistics,CONSULTING,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440823
126,NO GO 🔴,47.2%,Dar es Salaam Urban Transport Improvement Project,United Republic of Tanzania,Transport & Logistics,CONSULTING,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441132
127,NO GO 🔴,46.6%,Youth Rights at Work - Youth for future Project,Egypt,N/A,CONSULTING,ILO,Unknown,21,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299443
128,NO GO 🔴,46.5%,Burundi Consultant chargé d’un appui technique du Bureau Burundais de Normalisation (BBN),Burundi,Social Protection & Poverty Reduction,CONSULTING,African Development Bank (AfDB),Unknown,9,2,2026-05-06,afdb,https://www.afdb.org/en/documents/ami-burundi-consultant-charge-dun-appui-technique-du-bureau-burundais-de-normalisation-bbn-peappjf
129,NO GO 🔴,46.5%,Cote d'Ivoire Water Security and Sanitation Support Program,Côte d'Ivoire,"Water, Sanitation & Waste",CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00429911
130,NO GO 🔴,46.5%,Second Water Sector Institutional Development Project,Angola,"Water, Sanitation & Waste",CONSULTING,World Bank,Unknown,3,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438223
131,NO GO 🔴,46.0%,Multinational Consultancy Services - Procurement Officer - Building Blue Economy Resilience and Prosperity in IGAD and Horn of Africa,Multinational,"Enterprise IT & Systems Implementation, Business Strategy & Performance",CONSULTING,African Development Bank (AfDB),Unknown,148,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-multinational-consultancy-services-procurement-officer-building-blue-economy-resilience-and-prosperity-igad-and-horn-africa
132,NO GO 🔴,45.8%,ID for Inclusive Service Delivery and Digital Transformation in Indonesia,Indonesia,Digital Transformation,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440812
133,NO GO 🔴,45.8%,Tajikistan Digital Foundations Project,Tajikistan,Digital Transformation,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439980
134,NO GO 🔴,45.3%,Strengthening Public Financial Management II Project,Marshall Islands,"Financial Services, Business Strategy & Performance",CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441305
135,NO GO 🔴,45.1%,Support for Resilient Livelihoods in the South of Madagascar - MIONJO Project,Madagascar,N/A,NON-CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442025
136,NO GO 🔴,45.1%,Madagascar Safety Nets and Resilience Project,Madagascar,N/A,NON-CONSULTING,World Bank,Unknown,7,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442558
137,NO GO 🔴,45.1%,Guinée Projet de Préparation pour le Financement des activités d’un Projet Economie Bleue - PPF-Economie Bleue,Guinée,"Social Protection & Poverty Reduction, Business Strategy & Performance",CONSULTING,African Development Bank (AfDB),"652,910 UA",421,2,2026-05-06,afdb,https://www.afdb.org/en/documents/agpm-guinee-projet-de-preparation-pour-le-financement-des-activites-dun-projet-economie-bleue-ppf-economie-bleue
138,NO GO 🔴,44.8%,Campaign for Digital Financial Literacy and E-Wallet Onboarding in Afghanistan,Afghanistan,Digital Transformation,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44930
139,NO GO 🔴,44.2%,Videography and Photography Services (International Firm),Ethiopia,N/A,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45158
140,NO GO 🔴,44.2%,Service de restauration pour l'organisation du Bootcamp du 08 au 19 juin à Thiès,Senegal,N/A,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,4,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45187
141,NO GO 🔴,44.2%,Radio Media Services for Small Claims Court (SCC) Public Awareness in Mombasa,Kenya,N/A,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,4,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45136
142,NO GO 🔴,43.5%,Governance Reform and Accountability Transformation (GREAT) Project,Liberia,Government Reform & Public Administration,NON-CONSULTING,World Bank,"50,000 USD",12,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00434424
143,NO GO 🔴,43.0%,Support for Strengthening MDSA Framework,Nepal,"Enterprise IT & Systems Implementation, Health & Life Sciences",CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44949
144,NO GO 🔴,42.7%,Getting Results: Access and Delivery of Quality Education Services in Balochistan,Pakistan,Risk & Compliance,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440144
145,NO GO 🔴,42.7%,China Food Safety Improvement Project,China,Risk & Compliance,CONSULTING,World Bank,Unknown,7,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441098
146,NO GO 🔴,42.3%,Mid-Term Evaluation of for UNDP Afghanistan ACRP Project,Afghanistan,Enterprise IT & Systems Implementation,CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44926
147,NO GO 🔴,42.3%,RFP for for preparation of three comprehensive modules focusing on SDG Implement,India,Enterprise IT & Systems Implementation,CONSULTING,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44925
148,NO GO 🔴,40.3%,"Gabon Équipements et mobilier des CFPP, des lycées techniques et de l'école de santé du lot A",Gabon,Social Protection & Poverty Reduction,CONSULTING,African Development Bank (AfDB),Unknown,22,2,2026-05-06,afdb,https://www.afdb.org/en/documents/aoi-gabon-equipements-et-mobilier-des-cfpp-des-lycees-techniques-et-de-lecole-de-sante-du-lot-rcejps
149,NO GO 🔴,39.9%,Innovation Challenge - Social Enterprises,Georgia,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,26,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45163
150,NO GO 🔴,38.8%,Call for External Collaborators to collect social security data and conduct a gap analysis,Zambia,Social Protection & Poverty Reduction,CONSULTING,ILO,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299336
151,NO GO 🔴,38.8%,Transforming Agri-food Systems in Morocco,Morocco,Agriculture & Food Security,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438913
152,NO GO 🔴,38.7%,Chad Connectivity and Integration Project,Chad,Environment & Climate,CONSULTING,World Bank,Unknown,26,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440353
153,NO GO 🔴,38.4%,"Colaboración externa especializada en comunicación para la planificación, coordinación e implementación de la estrategia de comunicación de la Iniciativa Regional América Latina y el Caribe Libre de Trabajo Infantil (2026)",Multiple Destinations,N/A,CONSULTING,ILO,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299799
154,NO GO 🔴,38.4%,"Call for External Collaborators: Consultant for assessment of chocolate processing facility and training, Agroforestry Skills for Employment and Resilience (TLS/23/01/EU)",Timor-Leste,N/A,CONSULTING,ILO,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299811
155,NO GO 🔴,38.3%,011 - Develop Regulations on Governance of Herder Development Fund,Mongolia,Government Reform & Public Administration,CONSULTING,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44865
156,NO GO 🔴,37.9%,Chad Territorial Development and Resilience Project,Chad,Construction & Infrastructure,CONSULTING,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00434696
157,NO GO 🔴,37.0%,Support for Resilient Livelihoods in the South of Madagascar - MIONJO Project,Madagascar,N/A,NON-CONSULTING,World Bank,Unknown,26,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442252
158,NO GO 🔴,37.0%,Independent Assessment/Review of Implementation Performance of the GEF Project,China,Business Strategy & Performance,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44657
159,NO GO 🔴,36.4%,Montenegro Energy Sector Decarbonization Project,Montenegro,Energy & Utilities,CONSULTING,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440871
160,NO GO 🔴,36.2%,Transforming Access and Learning in Madagascar,Madagascar,"Education & Training, Marketing & Customer Experience",NON-CONSULTING,World Bank,Unknown,12,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439319
161,NO GO 🔴,35.9%,Joining Efforts for an Education of Excellence in Paraguay Project,Paraguay,Education & Training,CONSULTING,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438921
