title,portal,current_db_group,predicted_group,decided_by,needs_groq,nlp_gap
IC - Estudo sobre a judicialização envolvendo casos relacionados ao TEA,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
LEGAL EXPERT TO DEVELOP RULEBOOK FOR THE NAT.ENERGY AND CLIMATE PLAN,undp,CONSULTING,CONSULTING,NLP,False,0.0808
Implementation of selected priority actionsof the Parliamentary Reform Strategy,undp,CONSULTING,CONSULTING,NLP,False,0.1002
Impression des outils de collecte des données du PNLS,undp,Others,NON-CONSULTING,Layer 1,False,1.0
Individual Consultant - Develop the Monitoring and Evaluation (M&E) Plan,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
ITB.2026.001 - Long Term Agreement for Printing Services,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Junior Consultant to provide support to the Directorate for Ecology,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Junior Digital Engagement Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Evaluación de políticas públicas,undp,Others,CONSULTING,NLP,False,0.1094
"Desarrollo de escenarios, Plan Nacional de Adaptación - El Salvador",undp,Others,CONSULTING,NLP,True,0.0227
001- Roster Drivers,undp,CONSULTING,GOODS,NLP,False,0.0256
"RFP ""Governance Framework for Fiscal-Sustainable Social Protection Reform""",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Eight Regional Action Plans for Integrating CCA in Regional Planning,undp,GOODS,CONSULTING,NLP,False,0.0461
Company for capacity assessment and capacity building on CCA,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Hoja de ruta para integrar al sector financiero privado,undp,Others,CONSULTING,Layer 1,False,1.0
Supply of a field laboratory for water analysis,undp,GOODS,GOODS,Layer 1,False,1.0
Renovation of Restrooms in UN House,undp,WORKS,WORKS,Layer 1,False,1.0
Purchase and supply of an Aircraft (Quadcopter),undp,GOODS,GOODS,Layer 1,False,1.0
Vehicle with Hybrid engine and additional equipment,undp,GOODS,GOODS,Layer 1,False,1.0
Закупка и поставка 3 (трех) единиц двухосных жилых модульных зданий на колесах д,undp,Others,WORKS,NLP,False,0.0745
Закупка и поставка геодезического оборудования по ЛОТам,undp,Others,GOODS,NLP,False,0.0252
Закупка и поставка мебели для Казахского научно-исследовательского института вод,undp,Others,GOODS,NLP,False,0.0517
"Поставка дизельного генератора для ""Казгидрогеология""",undp,Others,WORKS,NLP,False,0.0031
Поставка передвижного воздушного винтового компрессора,undp,Others,GOODS,NLP,False,0.031
Поставка скважинного тросового электроконтактного уровнемера,undp,Others,WORKS,NLP,False,0.0308
Agence de communication_campagne de sensibilisation sur le recensement foncier,undp,Others,CONSULTING,NLP,False,0.047
CANCELLED - UNDP-MKD-782 Implementation of greening measures on the River Vardar Quay,undp,Others,WORKS,NLP,False,0.1272
Construction of Community Infrastructures in 3 Municipalities (Phase 4),undp,WORKS,WORKS,Layer 1,False,1.0
Construction of sports grounds and a decentralized wastewater treatment system,undp,WORKS,WORKS,Layer 1,False,1.0
Consultor Diagnostico Desertificación,undp,Others,CONSULTING,Layer 1,False,1.0
Environmental Policy Specialist,undp,Others,CONSULTING,Layer 1,False,1.0
Agreement - for National Legal Expertise to Support the Ministry of He,undp,CONSULTING,CONSULTING,NLP,False,0.0805
IC - Development of Climate-Responsive Insurance Product for Seaweed Farmers,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC- National Consultant – Grant evaluation and capitalization of best practices,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
019-Structural Engineer,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC-International Consultant – Final External Evaluation,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC-National Consultant to Support Five Municipalities in Reviewing and Updating,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Implementation of solar hybrid mini-grid projects in Somalia.,undp,Others,WORKS,NLP,False,0.0987
International consultant on development of Concept Notes to Green Climate Fund,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Rehabilitation of MoSA Social Development Centers in Bekaa, Leb",undp,WORKS,WORKS,Layer 1,False,1.0
National Consultant – eGovernance Specialist,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Consultant – Technology Specialist,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Provision of Travel Management Services for UN Agencies in Montenegro,undp,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Consultant for development of Roadmap for Groundwater Archives,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Recrutement des sociétés de nettoyage et jardinage,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Renforcement des capacités des FSI en communication professionnelle et analyse,undp,Others,CONSULTING,NLP,False,0.0888
Design a national Biodiversity Finance Plan,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RFP - Public Awareness Campaign on Climate Change & Carbon Markets Initiative Bi,undp,CONSULTING,CONSULTING,NLP,True,0.0193
RFP/AAA2/2603/13 - Grassroots Conflict Monitoring and Reporting Initiative,undp,CONSULTING,CONSULTING,NLP,False,0.1031
RFP/AAA2/2603/13 - Grassroots Conflict Monitoring and Reporting Initiative,undp,CONSULTING,CONSULTING,NLP,False,0.1031
Baseline Assessment and Evidence-Based Design of SWM Capacity-B,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Methodology and Action Plan for Integrating CCA into NPDRR,undp,GOODS,CONSULTING,NLP,False,0.069
RFQ#UNDP-KGZ-00782: Procurement of Radiological Equipment (6 LOTs),undp,GOODS,GOODS,Layer 1,False,1.0
RFQ_002_2026_National Supplier for PPE and the Safety Equipment,undp,GOODS,GOODS,Layer 1,False,1.0
"Micro evaluaciones, visitas de verificación, auditorías de control",undp,Others,CONSULTING,NLP,False,0.1113
"Supply and Delivery of Carpet, Tailoring and Embroidery Value Chain",undp,GOODS,GOODS,Layer 1,False,1.0
Supply of IT Tablets,undp,GOODS,GOODS,Layer 1,False,1.0
ViaDinaricaIII-RfP-Design of FBiH Gastronomy Promotion Campaign,undp,CONSULTING,CONSULTING,NLP,True,0.0212
ViaDinarica-RfQ-Development of mountain lookout Lijepa Ravan in Vlasenica,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"[ITB] LTA Conference & Accommodation Services to UNDP and UNs, Bangkok, Thailand",undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
AI Training for VET Faculty,undp,Others,CONSULTING,NLP,False,0.1151
Analytical basis for Ukraine’s National Green Finance Strategy,undp,CONSULTING,CONSULTING,NLP,False,0.1207
Civil Works for rehabilitation of Irrigation Canals in South Gezira locality,undp,WORKS,WORKS,Layer 1,False,1.0
Completion of INS Emergency Center Rehabilitation and Muhala‑Expansão Correction,undp,WORKS,WORKS,NLP,False,0.0861
Constructions and Rehabilitations of various facilities in SW Region of Cameroon,undp,Others,WORKS,NLP,False,0.1109
Elaboración de guía metodológica y capacitación en procesos para DIPRENA–MEF,undp,Others,CONSULTING,Layer 1,False,1.0
Indigenous Peoples and Cultural Heritage Knowledge Specialist,undp,Others,CONSULTING,NLP,False,0.0791
Local IC to Support the MLGTA Corporate Strategy and NDP12 Alignment (2026-2030),undp,CONSULTING,CONSULTING,NLP,False,0.1191
National Individual Consultant for Midterm Review of the Eswatini Youth Empowerm,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Recruitment of a consulting firm to assess financing demand and supply,undp,CONSULTING,CONSULTING,NLP,False,0.1226
Recrutement d’une firme pour la mise en place d’un logiciel de gestion,undp,Others,CONSULTING,Layer 1,False,1.0
Compiling the National Adaptation Plan,undp,CONSULTING,CONSULTING,NLP,False,0.0691
SUPPLY AND DELIVERY OF MEDICAL AND LABORATORY CONSUMABLES TO UN CLINIC NIGERIA.,undp,GOODS,GOODS,Layer 1,False,1.0
Farming Practices,undp,Others,WORKS,NLP,False,0.0025
"Actualizar, socializar e implementar la Agenda Nacional MAPE",undp,Others,CONSULTING,NLP,False,0.0646
Supply of Toolkits,undp,GOODS,GOODS,Layer 1,False,1.0
167577/26 Elaboración de un video documental sobre el valor de la biodiversidad,undp,Others,CONSULTING,Layer 1,False,1.0
Achat des Equipements FABLAB pour l'ecole Industrielle et l'école MPG Mauritanie,undp,GOODS,GOODS,Layer 1,False,1.0
Acuerto a Largo Plazo para el Suministro e instalación de Simuladores,undp,GOODS,WORKS,Layer 1,False,1.0
Cash for Work through Construction of Embankment Check Dam for Karize-Khoshk,undp,WORKS,WORKS,Layer 1,False,1.0
"Construction of Cheh-e-Babur Check Dam for Cheh-e-Babur village Sangin District,",undp,WORKS,WORKS,Layer 1,False,1.0
DES- Compra equipos línea completa de trituración y extrusión,undp,GOODS,GOODS,NLP,False,0.0923
Development and Implementation of a Public Awareness Campaign,undp,Others,CONSULTING,NLP,False,0.0377
EOI-Provision of Finance Training and Certification Programme (FTCP) Services,undp,CONSULTING,CONSULTING,NLP,False,0.1579
"Event management firm for providing logistics support, Bangladesh",undp,NON-CONSULTING,NON-CONSULTING,NLP,False,0.0802
Contratación de Póliza de Seguros para Bienes Tecnológic,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Risk Management in Public Sector Expert,undp,CONSULTING,CONSULTING,NLP,False,0.1524
ICT Systems Analyst / Case Management Systems Consultant for Law Enforcement,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultoría en diseño gráfico que acompañe proyectos de Protección Social,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultoría Territorial Fortalecimiento Estrategia CAMAD -Dosquebradas,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultoría Territorial Fortalecimiento Estrategia CAMAD -San Jose del Gu,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultoría Territorial Fortalecimiento Estrategia CAMAD -Zona Cúcuta,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply Delivery and Installation of Agricultural Machineries,undp,WORKS,WORKS,Layer 1,False,1.0
Provision of support to national partners in the implementation of UNCRPD,undp,CONSULTING,CONSULTING,NLP,False,0.0519
PROVISION OF SECURITY SERVICES-ONE UN HOUSE,undp,NON-CONSULTING,NON-CONSULTING,NLP,True,0.0297
Procurement of Software and Equipment for waste management,undp,NON-CONSULTING,GOODS,Layer 1,False,1.0
Mantenimiento estaciones meteorológicas,undp,NON-CONSULTING,WORKS,NLP,False,0.0044
Circular Innovation Lab Equipment and Tools,undp,GOODS,GOODS,NLP,False,0.0652
"Apoyo técnico para la identificación, socialización y formulación",undp,Others,CONSULTING,NLP,False,0.1276
Policy Development Expert Individual Contract,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Draft an Urban Development Policy for Sarawak,undp,CONSULTING,CONSULTING,NLP,False,0.0502
Consultoría para el diseño de la Plataforma Digital,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Recrutement d’un Cabinet International,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Elaboración de manuales de procesos y procedimientos de la UFTF,undp,Others,CONSULTING,Layer 1,False,1.0
Medical Equipment for Training of Humanitarian Demining Personnel,undp,GOODS,GOODS,Layer 1,False,1.0
Assessment of Institutional Constraints and Capacity Gaps,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National IT Specialist,undp,CONSULTING,CONSULTING,NLP,False,0.1199
Capital repair and modernization of the “Mihai Eminescu” Lyceum,undp,WORKS,WORKS,NLP,False,0.0366
Microsoft Training Courses and Microsoft Setup and Migration Services,undp,Others,CONSULTING,NLP,False,0.0428
Provisión de servicios Logísticos y de Gestión Aduanal del PNUD,undp,Others,NON-CONSULTING,NLP,False,0.0364
Preparation of Design and Supervision for improvement of Outdoor Sport Fields at,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Improve functionality of outdoors spaces (benches,undp,Others,WORKS,NLP,False,0.0966
Development of a detailed ProDoc for GEF funded project on Ena,undp,CONSULTING,CONSULTING,NLP,False,0.0904
"Diseño estratégico, conceptualización, producción campañas",undp,Others,CONSULTING,NLP,False,0.1162
"Supply lumber, boat engines & materials for 51 banca in Basilan",undp,GOODS,GOODS,NLP,False,0.1368
Adquisición de Licencias,undp,GOODS,GOODS,Layer 1,False,1.0
"Community Mobilization,Awareness, Capacity Building,Data collection&convergence",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Construction of Fire Station in Municipality of Zeta,undp,WORKS,WORKS,Layer 1,False,1.0
Consultancy Firm to Conduct Tracer Study for the YEDCB Project,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultancy to Conduct of Perception Survey on Service Delivery Satisfaction,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultor nacional amojonamiento y deslinde Parque Nac. Caazapá - 2do Llamado,undp,Others,CONSULTING,Layer 1,False,1.0
Contratação de empresa especializada em Serviços de Manutenção em Sistemas de Ar,undp,Others,NON-CONSULTING,NLP,True,0.0248
Deployment of a White Label Shared Agent Network to Strengthen financial inclusi,undp,Others,CONSULTING,NLP,True,0.0124
"Development of a Climate-Related Disaster Risk Reduction Plan for Damietta,Egypt",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Développement d'une plateforme numérique pour les OSCs traite des personnes,undp,Others,CONSULTING,NLP,True,0.0298
Freight Forwarding and Customs Clearing Services.,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Innovation Challenge - Supporting Service Sector SMEs,undp,Others,CONSULTING,NLP,False,0.078
International Consultant for the development of ITSBMP,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Procurement of diagnostic scanners / Закупка диагностических сканеров,undp,GOODS,GOODS,Layer 1,False,1.0
Provision of Cleaning & Gardening Services on LTA Basis at the UN House in Dili,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Provision of Construction Services,undp,WORKS,WORKS,NLP,False,0.1132
Supply of Reciprocating Gas Compressor Unit QTY: 3,undp,GOODS,GOODS,Layer 1,False,1.0
PLGSP - ISO Certification,undp,Others,GOODS,NLP,False,0.0103
Mental Health and Psychosocial Support (MHPSS) trainings,undp,Others,CONSULTING,NLP,False,0.0503
Закупка и поставка автомашин для КазНИИВХ/ Purchase of vehicles for KazSRIWM,undp,GOODS,GOODS,Layer 1,False,1.0
Национальный консультант по включению в портал методологии по оценке климат риск,undp,Others,CONSULTING,NLP,False,0.1401
Supply and installation of X-ray and WTMD Machines,undp,WORKS,WORKS,Layer 1,False,1.0
Two hybrid rooftop solar power plants in Kamianske (Lot 1 and Lot 2),undp,Others,WORKS,NLP,False,0.1442
"Elaboration of Web portal ""Mykolaiv Aid Data Dashboard""",undp,Others,CONSULTING,NLP,False,0.0616
Acquisition d’un véhicule de transport pour le compte du partenaire,undp,Others,GOODS,NLP,False,0.0102
Desarrollo de Inventario y propuesta de Plan Nacional de Gestión de Residuos,undp,Others,CONSULTING,NLP,True,0.02
DIVERS TRAVAUX DE CONSTRUCTION A OUANDA DJALLE ET BANGASSOU EN TROIS LOTS,undp,WORKS,WORKS,Layer 1,False,1.0
Production and installation of integrated AC/DC power supply cabinets,undp,WORKS,WORKS,Layer 1,False,1.0
Individual Consultant to Support Skill Our Future Learning Pathways,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"International Consultant for policy review, gap analysis, and training",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
International Firm to develop the National Biodiversity Finance Plan,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Pilot Implementation of OpenMRS at Al Sabah Children’s Hospital and Munuki PHCC,undp,Others,NON-CONSULTING,NLP,True,0.0006
Provision of LTA for Videography and Photography Service Provider in Aqaba,undp,Others,NON-CONSULTING,NLP,False,0.0426
Recrutement d'un prestataire de service pour le développement de l’a,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply and Installation of laboratory room and veterinary equipment (LOT Based),undp,WORKS,WORKS,Layer 1,False,1.0
TRAVAUX DE CONSTRUCTION D’UNE FERME PENITENTIAIRE AU PROFIT DES DETENUS,undp,WORKS,WORKS,Layer 1,False,1.0
Transportation Services for Distribution of Health Products,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Scaling up of the Supported Living Social Service in Mykolaiv Oblast,undp,Others,NON-CONSULTING,NLP,True,0.0145
Improvement of the social work system and provision of social services,undp,Others,CONSULTING,NLP,True,0.0006
"Asistencia diseño, desarrollo, implem. monitoreo modulos formativos - Arequipa",undp,Others,CONSULTING,NLP,False,0.0367
Consultancy Firm for Rwanda’s Green Taxonomy Capacity Building in Rwanda,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Electromechanical Works for Upgrading of the Main Slipway Winch System-Aden port,undp,Others,WORKS,NLP,False,0.0429
EUFRP-ITB-Reconstruction of a pumping station and equipment installation,undp,WORKS,WORKS,Layer 1,False,1.0
Procurement of a Van for the SEESAC Project,undp,GOODS,GOODS,Layer 1,False,1.0
Provision of Micro Assessments and HACT Audits,undp,CONSULTING,CONSULTING,NLP,False,0.1115
SPINNING MACHINE & YARN TWISTING MACHINE (TWO-FOR-ONE / TWISTING UNIT) & ADVANCE,undp,Others,GOODS,NLP,False,0.0457
Supply and Delivery of “Bakery Goods” to UN City Canteen,undp,GOODS,GOODS,Layer 1,False,1.0
Consultancy Firm to develop a roadmap for engaging the private sector,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
